ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΒΑΡΟΣ (kgs),ΔΙΑΜΕΤΡΟΣ (mm)
ΑΝ/1,ΑΝΟΔΙΑ ΧΕΛΩΝΕΣ,1,-
ΑΝ/1/2,ΑΝΟΔΙΑ ΧΕΛΩΝΕΣ,0.5,-
ΑΝ/2,ΑΝΟΔΙΑ ΧΕΛΩΝΕΣ,2,-
ΑΝ/3,ΑΝΟΔΙΑ ΧΕΛΩΝΕΣ,3,-
ΑΝ/4,ΑΝΟΔΙΑ ΧΕΛΩΝΕΣ,4,-
ΑΝ/5,ΑΝΟΔΙΑ ΧΕΛΩΝΕΣ,5,-
ΑΝ/ΚΩΝ/100,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,100
ΑΝ/ΚΩΝ/110,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,110
ΑΝ/ΚΩΝ/115,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,115
ΑΝ/ΚΩΝ/120,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,120
ΑΝ/ΚΩΝ/150,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,150
ΑΝ/ΚΩΝ/50,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,--,50
ΑΝ/ΚΩΝ/70,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,70
ΑΝ/ΚΩΝ/80,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,80
ΑΝ/ΚΩΝ/85,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,86
ΑΝ/ΚΩΝ/90,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,90
ΑΝ/ΚΩΝ/95,ΑΝΟΔΙΑ ΚΩΝΙΚΑ,-,95
ΑΝ/ΜΑΣ/12,ΑΝΟΔΙΑ ΜΑΣΟΥΡΙΑ,,120
ΑΝ/ΜΑΣ/16,ΑΝΟΔΙΑ ΜΑΣΟΥΡΙΑ,-,160
ΑΝ/ΜΑΣ/19,ΑΝΟΔΙΑ ΜΑΣΟΥΡΙΑ,-,190
ΑΝ/ΜΑΣ/22,ΑΝΟΔΙΑ ΜΑΣΟΥΡΙΑ,-,200
ΑΝ/ΣΤΡΟ,ΑΝΟΔΙΑ ΣΤΡΟΓΓΥΛΑ,-,-
ΑΝΟ/ΔΙ/100,ΑΝΟΔΙΟ ΑΞΩΝΑ ,-,100
ΑΝΟ/ΔΙ/20,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ20,-,20
ΑΝΟ/ΔΙ/22,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ22,-,22
ΑΝΟ/ΔΙ/25,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ25,-,25
ΑΝΟ/ΔΙ/28,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ28,-,28
ΑΝΟ/ΔΙ/30,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ30,-,30
ΑΝΟ/ΔΙ/32,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ32,-,32
ΑΝΟ/ΔΙ/35,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ35,-,35
ΑΝΟ/ΔΙ/38,ΑΝΟΔΙΟ ΔΙΑΙΡΟΥΜΕΝΟ Φ38,-,38
ΑΝΟ/ΔΙ/40,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ40,-,40
ΑΝΟ/ΔΙ/45,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ45,-,45
ΑΝΟ/ΔΙ/50,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ50,-,50
ΑΝΟ/ΔΙ/55,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ55,-,55
ΑΝΟ/ΔΙ/60,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ60,-,60
ΑΝΟ/ΔΙ/70,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ70,-,70
ΑΝΟ/ΔΙ/75,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ75,-,75
ΑΝΟ/ΔΙ/80,ΑΝΟΔΙΟ ΔΙΑΙΡΟΥΜΕΝΟ Φ80,-,80
ΑΝΟ/ΔΙ/85,ΑΝΟΔΙΟ ΔΙΑΙΡΟΥΜΕΝΟ Φ85,-,85
ΑΝΟ/ΔΙ/90,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ Φ90,-,90
