κοδικοσ,τιτλοσ,διαμετροσ,μοιρες
ΕΞΣ/66104/Α4,Βάσεις για ποτήρι,-,-
ΕΞΣ/66108/Α4,Βάσεις για ποτήρι βαρέως τύπου,-,-
ΕΞΣ/66222/Α4,Βάσεις για ποτήρι λοξή,-,-
ΕΞΣ/22101/Α4,Βάσεις για ποτήρι σπαστή,-,-
ΕΞΣ/66077/Α4,Βάσεις παρ/μες,22,30
ΕΞΣ/66015/Α4,Βάσεις παρ/μες,22,45
ΕΞΣ/66042/Α4,Βάσεις παρ/μες,22,60
ΕΞΣ/66041/Α4,Βάσεις παρ/μες,22,90
ΕΞΣ/66177/Α4,Βάσεις παρ/μες,25,30
ΕΞΣ/66115/Α4,Βάσεις παρ/μες,25,45
ΕΞΣ/66142/Α4,Βάσεις παρ/μες,25,60
ΕΞΣ/66141/Α4,Βάσεις παρ/μες,25,90
ΕΞΣ/09733/Α4,Βάσεις παρ/μες,30,90
ΕΞΣ/66041/Α4,Βάσεις παρ/μες 90 μοίρες,22,90
ΕΞΣ/66221/Α4,Βάσεις ποτηριού για σωλήνα,-,-
ΕΞΣ/66208/Α4,Βάσεις σκάλας,-,-
ΕΞΣ/66078/Α4,Βάσεις στρογγυλές,22,30
ΕΞΣ/66014/Α4,Βάσεις στρογγυλές,22,45
ΕΞΣ/66040/Α4,Βάσεις στρογγυλές,22,60
ΕΞΣ/66039/Α4,Βάσεις στρογγυλές,22,90
ΕΞΣ/66078/Α4,Βάσεις στρογγυλές,22,30
ΕΞΣ/66014/Α4,Βάσεις στρογγυλές,22,45
ΕΞΣ/66040/Α4,Βάσεις στρογγυλές,22,60
ΕΞΣ/66039/Α4,Βάσεις στρογγυλές,22,90
ΕΞΣ/66178/Α4,Βάσεις στρογγυλές,25,30
ΕΞΣ/66114/Α4,Βάσεις στρογγυλές,25,45
ΕΞΣ/66140/Α4,Βάσεις στρογγυλές,25,60
ΕΞΣ/66139/Α4,Βάσεις στρογγυλές,25,90
ΕΞΣ/09992/Α4,Βάσεις στρογγυλές,30,60
ΕΞΣ/9768/Α4,Βάσεις στρογγυλές,30,90
ΕΞΣ/09687/Α4,Βάσεις στρογγυλές,40,60
ΕΞΣ/09769/Α4,Βάσεις στρογγυλές,40,90
ΕΞΣ/66213/Α4,Βάση φωτοβολταϊκού ανοξείδωτη,-,-
ΕΞΣ/66100/Α4,Γλύστρες σωλήνας,22,-
ΕΞΣ/66102/Α4,Γλύστρες σωλήνας,25,-
ΕΞΣ/9713/Α4,Γλύστρες σωλήνας,30,-
ΕΞΣ/66158/Α4,Γλύστρες βαρέως τύπου 25mm,25,-
ΕΞΣ/35081/Α4,Γλύστρες διαιρούμενες,22,-
ΕΞΣ/35082/Α4,Γλύστρες διαιρούμενες,25,-
ΕΞΣ/35083/Α4,Γλύστρες διαιρούμενες,30,-
ΕΞΣ/9679/Α4,Γλύστρες διαιρούμενες,40,-
ΕΞΣ/66122/Α4,Γλύστρες με δέστρα 25mm,25,-
ΕΞΣ/66076/Α4,Γωνιές σωλήνας,22,90
ΕΞΣ/66176/Α4,Γωνιές σωλήνας,25,-
ΕΞΣ/9744/Α4,Γωνιές σωλήνας,30,90
ΕΞΣ/9686/Α4,Γωνιές σωλήνας,40,90
ΕΞΣ/66051/Α4,Καμπύλες σωλήνας,22,110
ΕΞΣ/66086/Α4,Καμπύλες σωλήνας,22,125
ΕΞΣ/66185/Α4,Καμπύλες σωλήνας,22,140
ΕΞΣ/66151/Α4,Καμπύλες σωλήνας,25,110
ΕΞΣ/66186/Α4,Καμπύλες σωλήνας,25,125
ΕΞΣ/66187/Α4,Καμπύλες σωλήνας,25,140
742/Α2/2122,Κολλάρα σωλήνας,22,-
742/A2/2125,Κολλάρα σωλήνας,25,-
742/A2/2130,Κολλάρα σωλήνας,30,-
742/A2/2140,Κολλάρα σωλήνας,40,-
ΕΞΣ/66101/Α4,Ποτήρια σωλήνας,22,-
ΕΞΣ/66103/Α4,Ποτήρια σωλήνας,24,-
ΕΞΣ/9788/Α4,Ποτήρια σωλήνας,30,-
ΕΞΣ/9668/Α4,Ποτήρια σωλήνας,40,-
ΕΞΣ/66094/Α4,Σταυροί σωλήνας ανοξείδωτοι,22,-
ΕΞΣ/66194/Α4,Σταυροί σωλήνας ανοξείδωτοι,25,-
ΕΞΣ/09799/Α4,Σταυροί σωλήνας ανοξείδωτοι,30,-
ΕΞΣ/9905/Α4,Σύνδεσμοι σωλήνας σπαστός,22,-
ΕΞΣ/9906/Α4,Σύνδεσμοι σωλήνας σπαστός,25,-
ΕΞΣ/66088/Α4,Τάπες σωλήνας,22,-
ΕΞΣ/66188/Α4,Τάπες σωλήνας,25,-
ΕΞΣ/66229/Α4,Τάπες κωνικές,22,-
ΕΞΣ/66230/Α4,Τάπες κωνικές,25,-
ΕΞΣ/9794/Α4,Τάπες κωνικές,30,-
ΕΞΣ/66020/Α4,Ταφ με δέστρα ,22,60
ΕΞΣ/66043/Α4,Ταφ σωλήνας,22,90
ΕΞΣ/66093/Α4,Ταφ σωλήνας,22,60
ΕΞΣ/66143/Α4,Ταφ σωλήνας,25,90
ΕΞΣ/66193/Α4,Ταφ σωλήνας,25,60
ΕΞΣ/09730/Α4,Ταφ σωλήνας,30,90
ΕΞΣ/09778/Α4,Ταφ σωλήνας,30,60
ΕΞΣ/09694/Α4,Ταφ σωλήνας,40,90
ΕΞΣ/09684/Α4,Ταφ σωλήνας,40,60
ΕΞΣ/66047/Α4,Ταφ σωλήνας διαιρούμενο,22,90
ΕΞΣ/66147/Α4,Ταφ σωλήνας διαιρούμενο,25,90
ΕΞΣ/66048/Α4,Τελείωματα  αρσενικά,22,-
ΕΞΣ/66030/Α4,Τελείωματα  θηλυκά,22,-
ΕΞΣ/66130/Α4,Τελείωματα  θηλυκά,25,-
ΕΞΣ/66030/Α4,Τελειώματα σωλήνων θηλυκά,22,-
ΕΞΣ/66046/Α4,Τριπλές γωνιές σωλήνας,22,-
ΕΞΣ/66146/Α4,Τριπλές γωνιές σωλήνας,25,-
ΕΞΣ/09798/Α4,Τριπλές γωνιές σωλήνας,30,-
ΕΞΣ/66376/Α4,Φρούσια γραμμής,22,-
ΕΞΣ/66476/Α4,Φρούσια γραμμής,25,-
ΕΞΣ/9763/Α4,Φρούσια γραμμής,40,-
ΕΞΣ/30025/Α4,Φρούσια γραμμής,22,-
ΕΞΣ/66375/Α4,Φρούσια τελικά,22,-
ΕΞΣ/66475/Α4,Φρούσια τελικά,25,-
ΕΞΣ/9765/Α4,Φρούσια τελικά,40,-
