ΚΩΔΙΚΟΣ ,ΧΩΡΑ ,ΔΙΑΣΤΑΣΕΙΣ (cm),ΣΧΗΜΑ
ΣΗΜ/30,ΕΛΛΑΔΑ,20Χ30,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/40,ΕΛΛΑΔΑ,30Χ40,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/50,ΕΛΛΑΔΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/60,ΕΛΛΑΔΑ,40Χ60,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/70,ΕΛΛΑΔΑ,50Χ70,ΠΑΡΑΛ/ΜΟ
ΣΗΜ100,ΕΛΛΑΔΑ,60Χ100,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/120,ΕΛΛΑΔΑ,70Χ120,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/150,ΕΛΛΑΔΑ,90Χ150,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/200,ΕΛΛΑΔΑ,150Χ200,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΤΡ/2030,ΕΛΛΑΔΑ,20Χ30,ΤΡΙΓΩΝΟ
ΣΗΜ/ΑΜΕ/35Χ50Κ,ΑΜΕΡΙΚΗ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΑΓ/35Χ50Κ,ΑΓΓΛΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΓΕΡ/35Χ50Κ,ΓΕΡΜΑΝΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΔΑΝ/35Χ50Κ,ΔΑΝΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΚΥΠ/35Χ50Κ,ΚΥΠΡΟΣ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΝΟΡ/35Χ50Κ,ΝΟΡΒΗΓΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΟΛ/35Χ50Κ,ΟΛΛΑΝΔΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΓΑΛ/35Χ50Κ,ΓΑΛΛΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΣΟΥ/35Χ50Κ,ΣΟΥΗΔΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΦΙΛ/35Χ50Κ,ΦΙΛΑΝΔΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΕΛΒ/35Χ50Κ,ΕΛΒΕΤΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΙΤ/35Χ50Κ,ΙΤΑΛΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΕΟΚ/35Χ50Κ,ΕΟΚ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΠΕΙΡ/35Χ50Κ,ΠΕΙΡΑΤΗ,35Χ50,ΠΑΡΑΛ/ΜΟ
