kodikos,titlso,xora,disatssseis cm,sxima 
ΣΗΜ/30,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,20Χ30,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/40,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,30Χ40,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/50,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/60,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,40Χ60,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/70,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,50Χ70,ΠΑΡΑΛ/ΜΟ
ΣΗΜ100,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,60Χ100,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/120,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,70Χ120,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/150,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,90Χ150,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/200,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,150Χ200,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΤΡ/2030,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΛΑΔΑ,20Χ30,ΤΡΙΓΩΝΟ
ΣΗΜ/ΑΜΕ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΑΜΕΡΙΚΗ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΑΓ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΑΓΓΛΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΓΕΡ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΓΕΡΜΑΝΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΔΑΝ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΔΑΝΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΚΥΠ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΚΥΠΡΟΣ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΝΟΡ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΝΟΡΒΗΓΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΟΛ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΟΛΛΑΝΔΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΓΑΛ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΓΑΛΛΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΣΟΥ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΣΟΥΗΔΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΦΙΛ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΦΙΛΑΝΔΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΕΛΒ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΛΒΕΤΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΙΤ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΙΤΑΛΙΑ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΕΟΚ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΕΟΚ,35Χ50,ΠΑΡΑΛ/ΜΟ
ΣΗΜ/ΠΕΙΡ/35Χ50Κ,ΣΗΜΑΙΕΣ ΣΚΑΦΩΝ,ΠΕΙΡΑΤΗ,35Χ50,ΠΑΡΑΛ/ΜΟ
